,City,Country,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
116,Alofi,NU,-19.06,69.8,77,12,2.24
117,Saint-Philippe,CA,45.36,74.34,68,90,14.99
118,Bluff,AU,-23.58,43.71,57,50,4.79
119,Esperance,AU,-33.86,46.4,87,0,6.93
120,Mataura,NZ,-46.19,40.65,83,83,8.23
121,Saquarema,BR,-22.93,82.99,54,0,4.7
122,Kapaa,US,22.08,77.65,88,75,13.87
123,Road Town,VG,18.42,84.63,79,40,8.05
124,Touros,BR,-5.2,80.6,83,75,13.87
125,Jamestown,AU,-33.21,47.13,86,71,9.73
126,Hobart,AU,-42.88,45.43,61,75,19.46
127,Port Alfred,ZA,-33.59,63.0,90,8,5.01
128,Castro,CL,-42.48,48.2,81,75,12.75
129,Rikitea,PF,-23.12,74.49,85,8,14.23
130,Tiarei,PF,-17.53,75.97,69,75,10.29
131,Nikolskoye,RU,59.7,58.66,59,20,2.24
132,Hovd,NO,63.83,52.14,66,75,13.87
133,Jamestown,AU,-33.21,47.13,86,71,9.73
134,Ushuaia,AR,-54.81,41.0,86,20,2.66
135,Yellowknife,CA,62.45,64.85,39,20,9.17
136,Tiksi,RU,71.64,40.47,72,35,1.9
137,Punta Arenas,CL,-53.16,39.09,93,75,8.05
138,Yerbogachen,RU,61.28,61.71,77,100,4.63
139,Busselton,AU,-33.64,48.31,61,22,19.28
140,Mount Gambier,AU,-37.83,50.0,87,75,13.87
141,Awjilah,LY,29.14,91.41,29,0,15.48
142,Severo-Kurilsk,RU,50.68,43.71,93,59,10.45
143,Natal,BR,-5.81,81.48,69,75,16.11
144,Mataura,NZ,-46.19,40.65,83,83,8.23
145,Castro,CL,-42.48,48.2,81,75,12.75
146,Provideniya,RU,64.42,52.35,81,89,5.03
147,Lensk,RU,60.71,58.11,89,58,3.13
148,Ariquemes,BR,-9.91,94.65,31,0,4.41
149,Mmabatho,ZA,-25.85,59.0,28,0,3.36
150,Hilo,US,19.71,72.07,88,90,4.7
151,Ancud,CL,-41.87,48.2,81,75,12.75
152,Bredasdorp,ZA,-34.53,53.6,81,44,8.05
153,Cabo San Lucas,MX,22.89,89.06,38,20,5.82
154,Kieta,PG,-6.22,77.91,83,69,3.87
155,Saint George,GR,39.45,78.8,47,40,9.17
156,Notre-Dame-du-Lac,CA,47.61,73.09,56,40,12.75
157,Porto Novo,BR,-23.68,80.6,34,0,6.93
158,Ushuaia,AR,-54.81,41.0,86,20,2.66
159,Albany,US,42.65,81.16,48,20,11.41
160,Sept-Iles,CA,50.2,58.5,93,90,11.41
161,Taoudenni,ML,22.68,108.51,13,54,12.15
162,Busselton,AU,-33.64,48.31,61,22,19.28
163,Kotelnikovo,RU,47.63,72.15,64,22,4.09
164,Vallenar,CL,-28.58,70.35,26,0,8.61
165,Medea,DZ,36.27,86.0,51,20,10.29
166,Iqaluit,CA,63.75,50.0,76,20,9.17
167,Esperance,AU,-33.86,46.4,87,0,6.93
168,Abapo,BO,-18.83,76.65,53,61,7.67
169,Ushuaia,AR,-54.81,41.0,86,20,2.66
170,Albany,US,42.65,81.16,48,20,11.41
171,Sao Joao da Barra,BR,-21.64,87.73,29,0,9.17
172,Raymond,CA,49.47,79.99,44,20,5.82
173,Ushuaia,AR,-54.81,41.0,86,20,2.66
174,Gazanjyk,TM,39.24,89.79,40,0,13.31
175,Iqaluit,CA,63.75,50.0,76,20,9.17
176,Mendoza,AR,-32.89,60.8,44,0,5.82
177,Salalah,OM,17.01,78.8,94,90,8.05
178,Bluff,AU,-23.58,43.71,57,50,4.79
179,Conceicao do Araguaia,BR,-8.26,94.47,28,37,2.33
180,Barrow,AR,-38.31,56.31,51,96,8.81
181,Kodiak,US,39.95,88.12,15,40,5.75
182,Rikitea,PF,-23.12,74.49,85,8,14.23
183,Hilo,US,19.71,72.07,88,90,4.7
184,Kruisfontein,ZA,-34.0,51.81,93,12,6.49
185,Heze,CN,35.25,81.87,51,21,9.33
186,Linxia,CN,35.6,54.33,68,100,3.76
187,Ushuaia,AR,-54.81,41.0,86,20,2.66
188,San Carlos de Bariloche,AR,-41.13,39.2,80,75,19.46
189,Khonsa,IN,26.99,69.27,96,100,1.83
190,Buje,SI,45.65,70.25,44,20,4.7
191,Puerto Ayora,EC,-0.74,76.08,61,20,19.46
192,Rikitea,PF,-23.12,74.49,85,8,14.23
193,Lorengau,PG,-2.02,78.45,82,100,8.28
194,Codrington,AU,-28.95,48.0,74,0,16.11
195,Ahipara,NZ,-35.17,58.29,66,13,20.07
196,Sitka,US,37.17,84.99,50,17,7.0
197,Butaritari,KI,3.07,83.31,69,4,4.03
198,Mataura,NZ,-46.19,40.65,83,83,8.23
199,Paamiut,GL,61.99,43.71,88,0,12.15
200,Karratha,AU,-20.74,64.95,25,0,15.97
201,Banjar,ID,-7.37,65.85,96,22,2.21
202,Kanchanaburi,TH,14.03,78.27,76,100,4.38
203,Acurenam,GA,1.03,69.45,97,61,4.97
204,Tura,RU,64.27,62.07,80,100,2.21
205,Jamestown,AU,-33.21,47.13,86,71,9.73
206,Rikitea,PF,-23.12,74.49,85,8,14.23
207,Albany,US,42.65,81.16,48,20,11.41
208,Bluff,AU,-23.58,43.71,57,50,4.79
209,Ushuaia,AR,-54.81,41.0,86,20,2.66
210,Ekibastuz,KZ,51.72,74.67,62,2,7.99
211,Sladkovo,RU,55.53,67.65,86,0,6.71
212,Buin,CL,-33.73,59.05,48,67,3.02
213,Narsaq,GL,60.91,64.4,42,75,6.93
214,Gat,SN,14.69,84.2,70,20,14.99
215,Tuktoyaktuk,CA,69.44,62.6,59,75,6.93
216,Vostok,RU,46.45,59.55,83,100,3.6
217,Pangnirtung,CA,66.15,50.0,81,75,16.11
218,Bethel,US,60.79,59.0,93,40,4.7
219,Tabou,CI,4.42,75.75,75,61,4.07
220,Bluff,AU,-23.58,43.71,57,50,4.79
221,Ushuaia,AR,-54.81,41.0,86,20,2.66
222,Butaritari,KI,3.07,83.31,69,4,4.03
223,Vardo,US,39.62,88.61,49,1,12.75
224,Tazovskiy,RU,67.47,54.33,68,100,18.28
225,Lebu,ET,8.96,57.39,85,83,3.42
226,Menongue,AO,-14.66,61.17,21,2,5.08
227,Vestmannaeyjar,IS,63.44,53.6,100,90,19.46
228,Moose Factory,CA,51.26,71.6,60,1,8.05
229,Sangar,RU,63.92,64.59,54,30,10.18
230,Hukuntsi,BW,-23.98,60.27,16,0,8.9
231,Geraldton,CA,49.72,77.0,44,90,13.87
232,Vaini,IN,15.34,77.91,88,88,2.04
233,Pecos,US,31.42,87.87,35,1,8.05
234,Artyom,RU,43.36,64.4,93,40,6.71
235,Quatre Cocos,MU,-20.21,66.99,72,20,5.82
236,Broken Hill,AU,-31.97,50.0,66,90,16.11
237,Tuktoyaktuk,CA,69.44,62.6,59,75,6.93
238,Boyolangu,ID,-8.09,65.13,94,4,4.27
239,Rikitea,PF,-23.12,74.49,85,8,14.23
240,Nikolskoye,RU,59.7,58.66,59,20,2.24
241,Punta Arenas,CL,-53.16,39.09,93,75,8.05
242,Hermanus,ZA,-34.42,55.0,82,61,1.01
243,Butaritari,KI,3.07,83.31,69,4,4.03
244,Kapaa,US,22.08,77.65,88,75,13.87
245,Hermanus,ZA,-34.42,55.0,82,61,1.01
246,Bluff,AU,-23.58,43.71,57,50,4.79
247,Fairbanks,US,64.84,63.1,77,1,3.36
248,Klaksvik,FO,62.23,53.6,100,100,5.82
249,Alta Floresta,BR,-9.87,95.0,30,40,9.17
250,Port Alfred,ZA,-33.59,63.0,90,8,5.01
251,Kangaatsiaq,GL,68.31,45.15,68,0,14.45
252,Punta Cardon,VE,11.61,80.97,76,67,32.84
253,Yulara,AU,-25.24,42.8,56,0,5.82
254,Puerto Ayacucho,CO,5.66,87.8,58,20,4.7
255,Khatanga,RU,71.98,47.49,62,27,10.0
256,Kapaa,US,22.08,77.65,88,75,13.87
257,Walvis Bay,NA,-22.95,57.58,82,0,3.36
258,Privolzhskiy,RU,55.96,68.0,68,0,4.47
259,Punta Arenas,CL,-53.16,39.09,93,75,8.05
260,Santa Rita,BR,-7.13,80.6,78,75,14.99
261,Busselton,AU,-33.64,48.31,61,22,19.28
262,Arlit,NE,18.74,105.09,10,4,7.14
263,Peniche,PT,39.36,69.28,83,90,5.82
264,Busselton,AU,-33.64,48.31,61,22,19.28
265,Yeppoon,AU,-23.13,42.8,63,93,2.24
266,Bredasdorp,ZA,-34.53,53.6,81,44,8.05
267,Severo-Kurilsk,RU,50.68,43.71,93,59,10.45
268,Lavrentiya,RU,65.58,56.85,75,89,3.22
269,La Ronge,CA,55.1,66.2,68,40,6.93
270,Saint George,GR,39.45,78.8,47,40,9.17
271,Port Alfred,ZA,-33.59,63.0,90,8,5.01
272,Rongcheng,CN,37.16,71.61,88,70,0.94
273,Okhotsk,RU,59.36,52.17,94,100,7.54
274,Grand Gaube,MU,-20.01,67.12,72,20,5.82
275,Hobart,AU,-42.88,45.43,61,75,19.46
276,Ushuaia,AR,-54.81,41.0,86,20,2.66
277,Hermanus,ZA,-34.42,55.0,82,61,1.01
278,Rikitea,PF,-23.12,74.49,85,8,14.23
279,Tamasane,BW,-22.42,64.4,52,0,1.12
280,Puerto Ayora,EC,-0.74,76.08,61,20,19.46
281,Busselton,AU,-33.64,48.31,61,22,19.28
282,Ushuaia,AR,-54.81,41.0,86,20,2.66
283,Wasilla,US,61.58,61.02,63,20,4.7
284,Butaritari,KI,3.07,83.31,69,4,4.03
285,Albany,US,42.65,81.16,48,20,11.41
286,Albany,US,42.65,81.16,48,20,11.41
287,Aden,YE,12.79,93.21,41,18,5.79
288,Plettenberg Bay,ZA,-34.05,54.87,86,56,4.05
289,Hermanus,ZA,-34.42,55.0,82,61,1.01
290,Miramar,CR,10.09,72.1,94,90,2.24
291,Atuona,PF,-9.8,79.71,75,7,16.69
292,Hermanus,ZA,-34.42,55.0,82,61,1.01
293,East London,ZA,-33.02,64.4,88,0,12.75
294,Saldanha,PT,41.42,86.01,40,3,14.88
295,Bethel,US,60.79,59.0,93,40,4.7
296,East London,ZA,-33.02,64.4,88,0,12.75
297,Muros,ES,42.77,73.6,69,20,10.29
298,Yellowknife,CA,62.45,64.85,39,20,9.17
299,Kaeo,NZ,-35.1,45.0,95,0,3.0
300,Srednekolymsk,RU,67.46,49.47,61,41,18.59
301,Marabba,SD,12.35,82.05,57,37,13.6
302,Bethel,US,60.79,59.0,93,40,4.7
303,Ouadda,CF,8.07,70.71,95,94,3.04
304,Novaya Igirma,RU,57.14,59.73,87,100,5.26
305,Nelson Bay,AU,-32.72,51.53,57,60,24.16
306,Wanning,AT,48.64,62.71,82,75,5.82
307,Pevek,RU,69.7,34.35,94,91,11.97
308,Bambous Virieux,MU,-20.34,66.92,72,20,5.82
309,Port Hardy,CA,50.7,57.2,93,90,3.36
310,Punta Gorda,US,26.93,92.12,59,20,8.05
311,Ushuaia,AR,-54.81,41.0,86,20,2.66
312,Jamestown,AU,-33.21,47.13,86,71,9.73
313,Georgetown,GY,6.8,86.97,74,40,16.11
314,Busselton,AU,-33.64,48.31,61,22,19.28
315,Ahipara,NZ,-35.17,58.29,66,13,20.07
316,Souillac,FR,45.6,81.03,30,0,13.87
317,Bluff,AU,-23.58,43.71,57,50,4.79
318,San Patricio,PY,-26.98,63.87,96,100,7.05
319,Yining,CN,29.04,69.63,97,78,1.88
320,Lorengau,PG,-2.02,78.45,82,100,8.28
321,Kunda,EE,59.5,55.05,71,99,3.98
322,Ribeira Grande,PT,38.52,77.0,57,20,14.99
323,Magomeni,TZ,-6.8,78.04,83,20,6.93
324,Alugan,PH,12.22,74.13,93,100,3.98
325,Bluff,AU,-23.58,43.71,57,50,4.79
326,Bluff,AU,-23.58,43.71,57,50,4.79
327,East London,ZA,-33.02,64.4,88,0,12.75
328,Okato,NZ,-39.19,54.69,66,21,24.02
329,Hobart,AU,-42.88,45.43,61,75,19.46
330,Mingshui,CN,22.81,77.01,92,94,4.85
331,Khandbari,NP,27.38,56.85,98,100,2.59
332,Aksarka,RU,66.56,64.41,83,54,4.21
333,Busselton,AU,-33.64,48.31,61,22,19.28
334,New Norfolk,AU,-42.78,45.45,61,75,19.46
335,Atuona,PF,-9.8,79.71,75,7,16.69
336,San Pedro,AR,-33.68,60.33,51,0,1.99
337,Yellowknife,CA,62.45,64.85,39,20,9.17
338,Frontera,MX,18.53,87.8,62,90,4.45
339,High Prairie,CA,55.43,70.17,64,62,7.67
340,Yulara,AU,-25.24,42.8,56,0,5.82
341,Norman Wells,CA,65.28,57.2,82,75,2.24
342,Mataura,NZ,-46.19,40.65,83,83,8.23
343,Airai,TL,-8.93,66.39,82,35,5.93
344,Rikitea,PF,-23.12,74.49,85,8,14.23
345,Arraial do Cabo,BR,-22.97,83.32,54,0,4.7
346,Rikitea,PF,-23.12,74.49,85,8,14.23
347,Ushuaia,AR,-54.81,41.0,86,20,2.66
348,Fairbanks,US,64.84,63.1,77,1,3.36
349,Lompoc,US,34.64,66.25,72,1,4.7
350,Wuxue,CN,29.85,71.79,95,66,5.68
351,Khatanga,RU,71.98,47.49,62,27,10.0
352,Kalabo,ZM,-15.0,63.33,22,0,4.92
353,Bambous Virieux,MU,-20.34,66.92,72,20,5.82
354,Adrar,DZ,27.87,116.6,4,0,5.82
355,Trat,TH,12.25,87.37,70,81,2.57
356,Mombasa,KE,-4.05,77.0,88,20,5.82
357,Mataura,NZ,-46.19,40.65,83,83,8.23
358,Forestville,CA,48.74,62.6,93,90,20.8
359,Severo-Kurilsk,RU,50.68,43.71,93,59,10.45
360,Vaini,IN,15.34,77.91,88,88,2.04
361,Jalu,LY,29.03,92.67,26,0,12.97
362,Castro,CL,-42.48,48.2,81,75,12.75
363,Nouadhibou,MR,20.93,75.2,64,12,26.4
364,Luderitz,NA,-26.65,51.8,93,0,11.41
365,Vaini,IN,15.34,77.91,88,88,2.04
366,Gatton,AU,-27.56,45.03,79,9,4.7
367,Nome,US,30.04,83.21,79,75,6.93
368,Progreso,UY,-34.68,52.79,66,20,4.7
369,Hermanus,ZA,-34.42,55.0,82,61,1.01
370,Ribeira Grande,PT,38.52,77.0,57,20,14.99
371,Epinal,FR,48.18,66.69,63,83,8.05
372,San Patricio,PY,-26.98,63.87,96,100,7.05
373,Cockburn Town,TC,21.46,82.41,78,0,17.87
374,Saint George,GR,39.45,78.8,47,40,9.17
375,Karasuk,RU,53.73,65.13,73,2,8.21
376,Hermanus,ZA,-34.42,55.0,82,61,1.01
377,Tuktoyaktuk,CA,69.44,62.6,59,75,6.93
378,Waipawa,NZ,-39.94,46.0,88,17,5.99
379,Vestmannaeyjar,IS,63.44,53.6,100,90,19.46
380,Hami,CN,42.84,85.83,15,82,15.35
381,Ushuaia,AR,-54.81,41.0,86,20,2.66
382,Atuona,PF,-9.8,79.71,75,7,16.69
383,Georgetown,GY,6.8,86.97,74,40,16.11
384,Qaanaaq,GL,77.48,46.23,60,51,12.71
385,Conde,BR,-11.81,79.53,62,35,8.19
386,Severo-Kurilsk,RU,50.68,43.71,93,59,10.45
387,Kodiak,US,39.95,88.12,15,40,5.75
388,Lompoc,US,34.64,66.25,72,1,4.7
389,Severo-Kurilsk,RU,50.68,43.71,93,59,10.45
390,Rikitea,PF,-23.12,74.49,85,8,14.23
391,Port Lincoln,AU,-34.72,55.05,74,96,18.01
392,New Norfolk,AU,-42.78,45.45,61,75,19.46
393,Grindavik,IS,63.84,55.4,100,90,13.87
394,Albany,US,42.65,81.16,48,20,11.41
395,Kapaa,US,22.08,77.65,88,75,13.87
396,Mayo,CA,63.59,62.6,67,20,2.24
397,San Vicente de Canete,PE,-13.08,62.79,79,95,7.78
398,Mandalgovi,MN,45.76,76.29,25,100,19.26
399,Hithadhoo,MV,-0.6,83.67,75,18,9.66
400,Hilo,US,19.71,72.07,88,90,4.7
401,Ushuaia,AR,-54.81,41.0,86,20,2.66
402,Punta Arenas,CL,-53.16,39.09,93,75,8.05
403,Arraial do Cabo,BR,-22.97,83.32,54,0,4.7
404,Ushuaia,AR,-54.81,41.0,86,20,2.66
405,Esperance,AU,-33.86,46.4,87,0,6.93
406,Albany,US,42.65,81.16,48,20,11.41
407,Cape Town,ZA,-33.93,55.4,76,0,6.93
408,Ilhabela,BR,-23.78,75.93,60,31,5.28
409,Ushuaia,AR,-54.81,41.0,86,20,2.66
410,Qaanaaq,GL,77.48,46.23,60,51,12.71
411,Puerto Ayora,EC,-0.74,76.08,61,20,19.46
412,Jamestown,AU,-33.21,47.13,86,71,9.73
413,Vardo,US,39.62,88.61,49,1,12.75
414,Aklavik,CA,68.22,66.94,64,75,2.24
415,Corinto,CO,3.17,78.8,61,75,2.24
416,Albox,ES,37.39,82.09,69,0,8.05
417,Tasiilaq,GL,65.61,44.6,75,75,6.93
418,Carnarvon,ZA,-30.97,59.19,20,0,9.86
419,Rikitea,PF,-23.12,74.49,85,8,14.23
420,Yellowknife,CA,62.45,64.85,39,20,9.17
421,Rotifunk,SL,8.23,79.71,79,87,5.61
422,Mchinji,MW,-13.8,57.75,70,21,5.95
423,Kaseda,JP,31.42,71.01,100,63,8.01
424,Tasiilaq,GL,65.61,44.6,75,75,6.93
425,Rikitea,PF,-23.12,74.49,85,8,14.23
426,Shitanjing,CN,39.23,73.0,39,99,4.0
427,Sumbe,AO,-11.2,69.8,86,90,10.29
428,Ulaangom,MN,49.98,67.11,59,90,7.05
429,Butaritari,KI,3.07,83.31,69,4,4.03
430,Manavalakurichi,IN,8.13,80.6,88,40,5.82
431,Yellowknife,CA,62.45,64.85,39,20,9.17
432,Rikitea,PF,-23.12,74.49,85,8,14.23
433,Hermanus,ZA,-34.42,55.0,82,61,1.01
434,Bambous Virieux,MU,-20.34,66.92,72,20,5.82
435,Ewa Beach,US,21.32,78.15,69,40,11.41
436,Arraial do Cabo,BR,-22.97,83.32,54,0,4.7
437,Barrow,AR,-38.31,56.31,51,96,8.81
438,Hamilton,CA,43.26,78.71,53,40,11.41
439,Andros Town,BS,24.73,87.8,62,40,11.41
440,Coquimbo,CL,-29.95,65.37,54,0,11.41
441,Avera,US,33.19,90.01,55,40,9.17
442,Longyearbyen,NO,78.22,46.4,70,40,11.41
443,Brae,GB,60.4,53.6,87,40,9.17
444,Port Alfred,ZA,-33.59,63.0,90,8,5.01
445,Nampula,MZ,-15.12,69.8,83,75,8.05
446,Pierre,US,44.37,85.57,69,1,12.75
447,Busselton,AU,-33.64,48.31,61,22,19.28
448,Paamiut,GL,61.99,43.71,88,0,12.15
449,Hithadhoo,MV,-0.6,83.67,75,18,9.66
450,Leningradskiy,RU,69.38,35.07,95,100,3.33
451,Aksarka,RU,66.56,64.41,83,54,4.21
452,Bambous Virieux,MU,-20.34,66.92,72,20,5.82
453,Rikitea,PF,-23.12,74.49,85,8,14.23
454,Mataura,NZ,-46.19,40.65,83,83,8.23
455,Mount Gambier,AU,-37.83,50.0,87,75,13.87
456,Carnarvon,ZA,-30.97,59.19,20,0,9.86
457,Victoria,BN,5.28,77.43,88,75,2.24
458,Punta Arenas,CL,-53.16,39.09,93,75,8.05
459,Punta Arenas,CL,-53.16,39.09,93,75,8.05
460,Busselton,AU,-33.64,48.34,63,22,19.28
461,Hithadhoo,MV,-0.6,83.67,75,18,9.66
462,Luderitz,NA,-26.65,51.8,93,0,11.41
463,Balikpapan,ID,-1.24,68.37,99,97,3.0
464,Roald,NO,62.58,53.62,76,75,6.93
465,Calbuco,CL,-41.77,48.2,87,75,9.17
466,Cape Town,ZA,-33.93,55.4,76,0,6.93
467,Grand Gaube,MU,-20.01,67.12,72,20,5.82
468,Hobart,AU,-42.88,45.43,61,75,19.46
469,Saint-Augustin,CA,45.63,74.34,56,75,8.05
470,Rikitea,PF,-23.12,74.49,85,8,14.23
471,Derzhavinsk,KZ,51.1,76.11,42,0,15.12
472,Solnechnyy,RU,50.72,60.09,90,100,1.3
473,Touros,BR,-5.2,80.6,83,75,13.87
474,Cape Town,ZA,-33.93,55.4,76,0,6.93
475,Ilulissat,GL,69.22,53.6,54,20,5.82
476,Vaini,IN,15.34,77.91,88,88,2.04
477,Saint George,GR,39.45,78.8,47,40,9.17
478,Kapaa,US,22.08,77.65,88,75,13.87
479,Preobrazheniye,RU,42.9,58.65,98,98,2.13
480,Ushuaia,AR,-54.81,41.0,86,20,2.66
481,Manakara,MG,-22.14,65.67,69,28,1.39
482,Norman Wells,CA,65.28,57.2,87,75,4.03
483,Avarua,CK,-21.21,66.2,77,0,1.12
484,Tiksi,RU,71.64,40.47,72,35,1.9
485,Chifeng,CN,42.27,63.33,67,0,1.57
486,Itoman,JP,26.12,82.8,89,75,8.05
487,Fairbanks,US,64.84,63.1,77,1,3.36
488,Georgetown,GY,6.8,86.97,74,40,16.11
489,Thompson,CA,55.74,64.4,63,75,3.36
490,Encheng,CN,22.74,70.71,97,97,1.12
491,Biak,ID,-0.91,58.83,96,91,5.68
492,Rikitea,PF,-23.12,74.49,85,8,14.23
493,Borzoy,RU,42.84,68.0,72,0,6.71
494,Saint-Pierre,FR,48.95,68.85,52,20,18.34
495,Albany,US,42.65,81.1,48,20,11.41
496,Te Anau,NZ,-45.41,38.31,72,76,5.86
497,Mataura,NZ,-46.19,40.65,83,83,8.23
498,Ushuaia,AR,-54.81,41.0,86,20,2.66
499,Chuy,UY,-33.69,51.99,71,72,9.01
